ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,AY,Latitude,Longitude,고등학교구분명,location_Cluster,sub_Cluster,final_Cluster
B10,서울특별시교육청,7010191,2022,37.6159031,126.909468,일반고,6,1,44
B10,서울특별시교육청,7011315,2022,37.6159031,126.909468,특성화고,6,11,43
B10,서울특별시교육청,7010192,2022,37.5508211,127.0901112,특목고,7,0,35
B10,서울특별시교육청,7010193,2022,37.5054479,126.9262267,일반고,4,1,41
B10,서울특별시교육청,7011179,2022,37.5507178,127.1399413,일반고,3,1,10
B10,서울특별시교육청,7010089,2022,37.5640199,127.0227127777,자율고,8,1,33
B10,서울특별시교육청,7010737,2022,37.5537355,127.0113208,특성화고,8,5,31
B10,서울특별시교육청,7010889,2022,37.5652647,127.0133464131,특성화고,8,11,29
B10,서울특별시교육청,7010886,2022,37.54797,127.0413,일반고,1,1,20
B10,서울특별시교육청,7010288,2022,37.5427804,127.021923,특성화고,1,10,21
B10,서울특별시교육청,7010195,2022,37.5944112,127.0197325,일반고,8,1,33
B10,서울특별시교육청,7010196,2022,37.5332447,126.9543115,일반고,5,1,8
B10,서울특별시교육청,7010837,2022,37.620888,127.0246478,특성화고,8,11,31
B10,서울특별시교육청,7011084,2022,37.6632595,127.0270389,특성화고,2,10,26
B10,서울특별시교육청,7010537,2022,37.6263002,126.9215509,특성화고,6,10,42
B10,서울특별시교육청,7010816,2022,37.4968621,126.8257267,특목고,0,6,16
B10,서울특별시교육청,7010764,2022,37.5603342,126.8637889,일반고,0,1,16
B10,서울특별시교육청,7010197,2022,37.506806,127.0072692,자율고,1,9,18
B10,서울특별시교육청,7010198,2022,37.506806,127.0072692,자율고,1,1,18
B10,서울특별시교육청,7010199,2022,37.60543,127.1073163543,일반고,7,1,36
B10,서울특별시교육청,7011085,2022,37.6098733,127.1068556,특성화고,7,4,35
B10,서울특별시교육청,7010200,2022,37.6098733,127.1068556,일반고,7,1,34
B10,서울특별시교육청,7010090,2022,37.4928154,126.9154329727,일반고,4,1,41
B10,서울특별시교육청,7010346,2022,37.4965442,127.0884542,특목고,9,5,3
B10,서울특별시교육청,7010559,2022,37.681352,127.0523756,자율고,2,1,28
B10,서울특별시교육청,7010885,2022,37.5498177,126.8245350116,일반고,0,1,16
B10,서울특별시교육청,7010201,2022,37.4845859,127.0388474,일반고,1,9,19
B10,서울특별시교육청,7010202,2022,37.549068,126.9450897,자율고,5,1,8
B10,서울특별시교육청,7010203,2022,37.5923292,126.9059229,일반고,6,1,44
B10,서울특별시교육청,7010204,2022,37.5077372,126.9287845576,일반고,4,1,38
B10,서울특별시교육청,7010205,2022,37.5434408,126.9706833,일반고,5,1,8
B10,서울특별시교육청,7010983,2022,37.6290814,126.918482215,일반고,6,1,43
B10,서울특별시교육청,7010884,2022,37.5111321,126.8893753,일반고,0,1,11
B10,서울특별시교육청,7010092,2022,37.47872895,126.9170673753,일반고,4,1,40
B10,서울특별시교육청,7010093,2022,37.5291987,126.8823744,일반고,0,1,16
B10,서울특별시교육청,7010765,2022,37.5280085,126.8586943,일반고,0,1,13
B10,서울특별시교육청,7010206,2022,37.6283087,127.0261751,자율고,2,1,27
B10,서울특별시교육청,7011316,2022,37.5990158,126.9190898,특성화고,6,5,44
B10,서울특별시교육청,7010702,2022,37.602472,127.0870225,일반고,7,1,34
B10,서울특별시교육청,7010917,2022,37.53105915,127.0322974455,일반고,1,1,20
B10,서울특별시교육청,7010094,2022,37.4832206,127.0315203,일반고,1,1,19
B10,서울특별시교육청,7010208,2022,37.5344508,126.8870509598,자율고,0,1,16
B10,서울특별시교육청,7010209,2022,37.5086039,126.8447718,일반고,0,1,13
B10,서울특별시교육청,7010095,2022,37.472583,127.0424309905,일반고,1,1,21
B10,서울특별시교육청,7010096,2022,37.5248101,126.9352732,일반고,5,1,7
B10,서울특별시교육청,7010097,2022,37.5224864,126.9343062,일반고,5,9,8
B10,서울특별시교육청,7010594,2022,37.6298221,127.050926,일반고,2,1,24
B10,서울특별시교육청,7010910,2022,37.6298221,127.050926,특성화고,2,11,25
B10,서울특별시교육청,7010212,2022,37.5290401,127.041123,일반고,1,1,17
B10,서울특별시교육청,7010712,2022,37.5104028,127.1061292,일반고,9,1,3
B10,서울특별시교육청,7010098,2022,37.5080291,126.9329806394,일반고,4,1,40
