고등교과목,교과 종류,과목군
정보 통신 시시 하드웨어 개발,전문교과Ⅱ,전기·전자
정보 통신 기기 기구 개발,전문교과Ⅱ,전기·전자
정보 통신 기기 소프트웨어 개발,전문교과Ⅱ,전기·전자
반도체 개발,전문교과Ⅱ,전기·전자
반도체 제조,전문교과Ⅱ,전기·전자
반도체 장비,전문교과Ⅱ,전기·전자
반도체 재료,전문교과Ⅱ,전기·전자
디스플레이 개발,전문교과Ⅱ,전기·전자
디스플레이 생산,전문교과Ⅱ,전기·전자
디스플레이 장비 부품 개발,전문교과Ⅱ,전기·전자
로봇 하드웨어 설계,전문교과Ⅱ,전기·전자
로봇 기구 개발,전문교과Ⅱ,전기·전자
로봇 소프트웨어 개발,전문교과Ⅱ,전기·전자
로봇 지능 개발,전문교과Ⅱ,전기·전자
로봇 유지 보수,전문교과Ⅱ,전기·전자
의료 기기 인허가,전문교과Ⅱ,전기·전자
의료 기기 생산,전문교과Ⅱ,전기·전자
의료 기기 연구·개발,전문교과Ⅱ,전기·전자
광부품 개발,전문교과Ⅱ,전기·전자
레이저 개발,전문교과Ⅱ,전기·전자
LED 기술 개발,전문교과Ⅱ,전기·전자
3D 프린터 개발,전문교과Ⅱ,전기·전자
3D 프린터용 제품 제작,전문교과Ⅱ,전기·전자
가상 훈련 시스템 설계·검증,전문교과Ⅱ,전기·전자
가상 훈련 구동 엔지니어링,전문교과Ⅱ,전기·전자
통신 일반,전문교과Ⅱ,정보·통신
통신 시스템,전문교과Ⅱ,정보·통신
정보 통신,전문교과Ⅱ,정보·통신
방송 일반,전문교과Ⅱ,정보·통신
정보 처리와 관리,전문교과Ⅱ,정보·통신
컴퓨터 구조,전문교과Ⅱ,정보·통신
프로그래밍,전문교과Ⅱ,정보·통신
자료 구조,전문교과Ⅱ,정보·통신
컴퓨터 시스템 일반,전문교과Ⅱ,정보·통신
컴퓨터 네트워크,전문교과Ⅱ,정보·통신
네트워크 구축,전문교과Ⅱ,정보·통신
유선 통신 구축,전문교과Ⅱ,정보·통신
무선 통신 구축,전문교과Ⅱ,정보·통신
초고속망 서비스 관리 운용,전문교과Ⅱ,정보·통신
방송 제작 시스템 운용,전문교과Ⅱ,정보·통신
네트워크 프로그래밍,전문교과Ⅱ,정보·통신
시스템 관리 및 지원,전문교과Ⅱ,정보·통신
컴퓨터 보안,전문교과Ⅱ,정보·통신
시스템 프로그래밍,전문교과Ⅱ,정보·통신
응용 프로그래밍 개발,전문교과Ⅱ,정보·통신
응용 프로그래밍 화면 구현,전문교과Ⅱ,정보·통신
데이터베이스 프로그래밍,전문교과Ⅱ,정보·통신
빅데이터 분석,전문교과Ⅱ,정보·통신
사물 인터넷 서비스 기획,전문교과Ⅱ,정보·통신
정보 보호 관리,전문교과Ⅱ,정보·통신
식품 과학,전문교과Ⅱ,식품 가공
식품 위생,전문교과Ⅱ,식품 가공
식품 가공 기술,전문교과Ⅱ,식품 가공
식품 분석,전문교과Ⅱ,식품 가공
곡물 가공,전문교과Ⅱ,식품 가공
떡 제조,전문교과Ⅱ,식품 가공
식품 품질 관리,전문교과Ⅱ,식품 가공
수산 식품 가공,전문교과Ⅱ,식품 가공
면류 식품 가공,전문교과Ⅱ,식품 가공
두류 식품 가공,전문교과Ⅱ,식품 가공
축산 식품 가공,전문교과Ⅱ,식품 가공
건강 기능 식품 가공,전문교과Ⅱ,식품 가공
유제품 가공,전문교과Ⅱ,식품 가공
김치·반찬 가공,전문교과Ⅱ,식품 가공
음료·주류 가공,전문교과Ⅱ,식품 가공
농산 식품 저장,전문교과Ⅱ,식품 가공
농산 식품 유통,전문교과Ⅱ,식품 가공
제과,전문교과Ⅱ,식품 가공
제빵,전문교과Ⅱ,식품 가공
인쇄 일반,전문교과Ⅱ,인쇄·출판·공예
디지털 이미지 재현,전문교과Ⅱ,인쇄·출판·공예
출판 일반,전문교과Ⅱ,인쇄·출판·공예
공예 일반,전문교과Ⅱ,인쇄·출판·공예
공예 재료와 도구,전문교과Ⅱ,인쇄·출판·공예
프리프레스,전문교과Ⅱ,인쇄·출판·공예
특수 인쇄,전문교과Ⅱ,인쇄·출판·공예
출판 편집,전문교과Ⅱ,인쇄·출판·공예
도자기 공예,전문교과Ⅱ,인쇄·출판·공예
석공예,전문교과Ⅱ,인쇄·출판·공예
보석 감정,전문교과Ⅱ,인쇄·출판·공예
평판 인쇄,전문교과Ⅱ,인쇄·출판·공예
후가공,전문교과Ⅱ,인쇄·출판·공예
금속 공예,전문교과Ⅱ,인쇄·출판·공예
목공예,전문교과Ⅱ,인쇄·출판·공예
섬유 공예,전문교과Ⅱ,인쇄·출판·공예
귀금속·보석 디자인,전문교과Ⅱ,인쇄·출판·공예
환경 화학 기초,전문교과Ⅱ,환경·안전
인간과 환경,전문교과Ⅱ,환경·안전
산업 안전 보건 기초,전문교과Ⅱ,환경·안전
수질 관리,전문교과Ⅱ,환경·안전
대기 관리,전문교과Ⅱ,환경·안전
폐기물 관리,전문교과Ⅱ,환경·안전
소음 진동 측정,전문교과Ⅱ,환경·안전
산업 환경 보건,전문교과Ⅱ,환경·안전
환경 생태 관리,전문교과Ⅱ,환경·안전
기계 안전 관리,전문교과Ⅱ,환경·안전
전기 안전 관리,전문교과Ⅱ,환경·안전
건설 안전 관리,전문교과Ⅱ,환경·안전
화공 안전 관리,전문교과Ⅱ,환경·안전
가스 안전 관리,전문교과Ⅱ,환경·안전
농업 이해,전문교과Ⅱ,농림·수산 해양
농업 기초 기술,전문교과Ⅱ,농림·수산 해양
농업 경영,전문교과Ⅱ,농림·수산 해양
재배,전문교과Ⅱ,농림·수산 해양
농촌과 농지 개발,전문교과Ⅱ,농림·수산 해양
농산물 유통,전문교과Ⅱ,농림·수산 해양
농산물 유통 관리,전문교과Ⅱ,농림·수산 해양
농산물 거래,전문교과Ⅱ,농림·수산 해양
관광 농업,전문교과Ⅱ,농림·수산 해양
환경 보전,전문교과Ⅱ,농림·수산 해양
친환경 농업,전문교과Ⅱ,농림·수산 해양
생명 공학 기술,전문교과Ⅱ,농림·수산 해양
농업 정보 관리,전문교과Ⅱ,농림·수산 해양
농산 식품 가공,전문교과Ⅱ,농림·수산 해양
원예 생산 자재,전문교과Ⅱ,농림·수산 해양
조경 식물 관리,전문교과Ⅱ,농림·수산 해양
화훼 장식 기초,전문교과Ⅱ,농림·수산 해양
산림 휴양,전문교과Ⅱ,농림·수산 해양
산림 자원,전문교과Ⅱ,농림·수산 해양
임산 가공,전문교과Ⅱ,농림·수산 해양
동물 자원,전문교과Ⅱ,농림·수산 해양
기초 과목,전문교과Ⅱ,농림·수산 해양
반려동물 관리,전문교과Ⅱ,농림·수산 해양
실험 동무로가 기타 가축,전문교과Ⅱ,농림·수산 해양
농업 기계,전문교과Ⅱ,농림·수산 해양
농업 기계 공작,전문교과Ⅱ,농림·수산 해양
농업 기계 운전·작업,전문교과Ⅱ,농림·수산 해양
농업과 물,전문교과Ⅱ,농림·수산 해양
농업 토목 제도·설계,전문교과Ⅱ,농림·수산 해양
농업 토목 시공·측량,전문교과Ⅱ,농림·수산 해양
해양의 이해,전문교과Ⅱ,농림·수산 해양
수산·해운 산업 기초,전문교과Ⅱ,농림·수산 해양
해양 생산 일반,전문교과Ⅱ,농림·수산 해양
해양 정보 관리,전문교과Ⅱ,농림·수산 해양
해양 오염·방제,전문교과Ⅱ,농림·수산 해양
전자 통신 기초,전문교과Ⅱ,농림·수산 해양
전자 통신 운용,전문교과Ⅱ,농림·수산 해양
수산 일반,전문교과Ⅱ,농림·수산 해양
수산 생물,전문교과Ⅱ,농림·수산 해양
수산 양식 일반,전문교과Ⅱ,농림·수산 해양
수산 경영,전문교과Ⅱ,농림·수산 해양
수산물 유통,전문교과Ⅱ,농림·수산 해양
양식 생물 질병,전문교과Ⅱ,농림·수산 해양
해양 환경과 자원,전문교과Ⅱ,농림·수산 해양
해양 레저 관광,전문교과Ⅱ,농림·수산 해양
요트 조종,전문교과Ⅱ,농림·수산 해양
잠수 기술,전문교과Ⅱ,농림·수산 해양
수도작 재배,전문교과Ⅱ,농림·수산 해양
전특작 재배,전문교과Ⅱ,농림·수산 해양
육종,전문교과Ⅱ,농림·수산 해양
종자 생산,전문교과Ⅱ,농림·수산 해양
종자 유통 보급,전문교과Ⅱ,농림·수산 해양
농업 생산 관리,전문교과Ⅱ,농림·수산 해양
농촌 체험 상품 개발,전문교과Ⅱ,농림·수산 해양
농촌 체험 시설 운영,전문교과Ⅱ,농림·수산 해양
농산물 품질 관리,전문교과Ⅱ,농림·수산 해양
채소 재배,전문교과Ⅱ,농림·수산 해양
과수 재배,전문교과Ⅱ,농림·수산 해양
화훼 재배,전문교과Ⅱ,농림·수산 해양
화훼 장식 기초,전문교과Ⅱ,농림·수산 해양
임업 종묘,전문교과Ⅱ,농림·수산 해양
산림 조성,전문교과Ⅱ,농림·수산 해양
산림 보호,전문교과Ⅱ,농림·수산 해양
임산물 생산,전문교과Ⅱ,농림·수산 해양
버섯 재배,전문교과Ⅱ,농림·수산 해양
펄프·종이 제조,전문교과Ⅱ,농림·수산 해양
목재 가공,전문교과Ⅱ,농림·수산 해양
가금 사육,전문교과Ⅱ,농림·수산 해양
젖소 사육,전문교과Ⅱ,농림·수산 해양
한우 사육,전문교과Ⅱ,농림·수산 해양
돼지 사육,전문교과Ⅱ,농림·수산 해양
말 사육,전문교과Ⅱ,농림·수산 해양
종축,전문교과Ⅱ,농림·수산 해양
사료 생산,전문교과Ⅱ,농림·수산 해양
동물 약품 제조,전문교과Ⅱ,농림·수산 해양
애완 동물 미용,전문교과Ⅱ,농림·수산 해양
수의 보조,전문교과Ⅱ,농림·수산 해양
바이오 의약품 제조,전문교과Ⅱ,농림·수산 해양
농업 생산 환경 조성,전문교과Ⅱ,농림·수산 해양
연안 어업,전문교과Ⅱ,농림·수산 해양
근해 어업,전문교과Ⅱ,농림·수산 해양
원양 어업,전문교과Ⅱ,농림·수산 해양
내수면 어업,전문교과Ⅱ,농림·수산 해양
염 생산,전문교과Ⅱ,농림·수산 해양
어업 자원 관리,전문교과Ⅱ,농림·수산 해양
어업 환경 개선,전문교과Ⅱ,농림·수산 해양
해면 양식,전문교과Ⅱ,농림·수산 해양
내수면 양식,전문교과Ⅱ,농림·수산 해양
수산 종묘 생산,전문교과Ⅱ,농림·수산 해양
수산 생물 질병 관리,전문교과Ⅱ,농림·수산 해양
어촌 체험 시설 운영,전문교과Ⅱ,농림·수산 해양
어촌 체험 상품 개발 수상 레저 기구 조정,전문교과Ⅱ,농림·수산 해양
일반 잠수,전문교과Ⅱ,농림·수산 해양
산업 잠수,전문교과Ⅱ,농림·수산 해양
항해 기초,전문교과Ⅱ,선박 운항
해사 일반,전문교과Ⅱ,선박 운항
해사 법규,전문교과Ⅱ,선박 운항
선박 운용,전문교과Ⅱ,선박 운항
선화 운송,전문교과Ⅱ,선박 운항
항만 물류 일반,전문교과Ⅱ,선박 운항
해사 영어,전문교과Ⅱ,선박 운항
항해사 직무,전문교과Ⅱ,선박 운항
해운 일반,전문교과Ⅱ,선박 운항
열기관,전문교과Ⅱ,선박 운항
선박 보조 기계,전문교과Ⅱ,선박 운항
선박 전기·전자,전문교과Ⅱ,선박 운항
기관 실무 기초,전문교과Ⅱ,선박 운항
기관 직무 일반,전문교과Ⅱ,선박 운항
선박 운항 관리,전문교과Ⅱ,선박 운항
선박 안전 관리,전문교과Ⅱ,선박 운항
선박 통신,전문교과Ⅱ,선박 운항
선박 갑판 관리,전문교과Ⅱ,선박 운항
선박 기기 운용,전문교과Ⅱ,선박 운항
기관사 직무,전문교과Ⅱ,선박 운항
선박 기관 정비,전문교과Ⅱ,선박 운항
선박 보조기계 정비,전문교과Ⅱ,선박 운항
